"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","01-Jan-2018","       1010.20","       1011.85","       1012.20","        996.80","        998.15","        999.95","       1003.47","    1317415","          1321989672.80","      17197","     820454","         62.28"
"KOTAKBANK","EQ","02-Jan-2018","        999.95","       1001.00","       1006.00","        992.50","       1001.75","       1003.20","        998.40","    1072207","          1070487339.70","      29908","     676564","         63.10"
"KOTAKBANK","EQ","03-Jan-2018","       1003.20","       1002.60","       1006.90","        998.10","        998.50","       1000.10","       1001.44","     884021","           885291530.75","      28080","     584835","         66.16"
"KOTAKBANK","EQ","04-Jan-2018","       1000.10","       1001.00","       1002.90","        996.10","       1001.95","       1000.40","        999.94","     783950","           783903037.45","      28914","     499161","         63.67"
"KOTAKBANK","EQ","05-Jan-2018","       1000.40","       1002.50","       1006.70","        996.60","       1003.00","       1003.05","       1002.76","    2147402","          2153337341.45","      34011","    1643775","         76.55"
"KOTAKBANK","EQ","08-Jan-2018","       1003.05","       1008.85","       1013.10","       1003.70","       1005.55","       1006.10","       1008.87","    1780412","          1796200865.75","      56302","    1332255","         74.83"
"KOTAKBANK","EQ","09-Jan-2018","       1006.10","       1010.00","       1020.65","        996.00","       1009.80","       1009.75","       1010.12","    1242106","          1254678980.00","      29554","     821613","         66.15"
"KOTAKBANK","EQ","10-Jan-2018","       1009.75","       1007.60","       1009.45","       1000.10","       1002.00","       1002.25","       1003.02","     676881","           678927154.45","      32707","     420218","         62.08"
"KOTAKBANK","EQ","11-Jan-2018","       1002.25","       1003.70","       1021.00","       1001.05","       1017.80","       1017.65","       1014.35","    2077832","          2107647006.40","      42890","    1517964","         73.06"
"KOTAKBANK","EQ","12-Jan-2018","       1017.65","       1022.50","       1025.90","       1016.10","       1017.50","       1023.35","       1021.60","    2320796","          2370929838.95","      24922","    1822590","         78.53"
"KOTAKBANK","EQ","15-Jan-2018","       1023.35","       1025.00","       1041.40","       1020.35","       1038.00","       1038.35","       1031.37","    3511372","          3621527775.90","      67273","    2524866","         71.91"
"KOTAKBANK","EQ","16-Jan-2018","       1038.35","       1043.55","       1044.00","       1027.50","       1030.00","       1033.25","       1035.28","    1158187","          1199043882.45","      55173","     633903","         54.73"
"KOTAKBANK","EQ","17-Jan-2018","       1033.25","       1028.05","       1034.15","       1021.80","       1030.00","       1027.10","       1027.28","    1603465","          1647205554.80","      55571","     550445","         34.33"
"KOTAKBANK","EQ","18-Jan-2018","       1027.10","       1033.00","       1050.80","       1031.40","       1047.05","       1046.50","       1040.89","    3648214","          3797385245.50","      65386","    2429564","         66.60"
"KOTAKBANK","EQ","19-Jan-2018","       1046.50","       1052.70","       1063.90","       1043.05","       1058.00","       1060.55","       1053.88","    4304314","          4536229738.60","      78558","    2385265","         55.42"
"KOTAKBANK","EQ","22-Jan-2018","       1060.55","       1061.00","       1078.20","       1044.00","       1073.35","       1074.10","       1072.67","    3189930","          3421741430.15","      66378","    2338400","         73.31"
"KOTAKBANK","EQ","23-Jan-2018","       1074.10","       1076.95","       1083.75","       1070.25","       1070.95","       1075.45","       1077.73","    2458463","          2649552917.95","      40843","    1856990","         75.53"
"KOTAKBANK","EQ","24-Jan-2018","       1075.45","       1071.25","       1084.00","       1070.95","       1081.70","       1080.10","       1078.98","    1168000","          1260251269.45","      40173","     865151","         74.07"
"KOTAKBANK","EQ","25-Jan-2018","       1080.10","       1076.00","       1098.00","       1050.10","       1092.40","       1092.35","       1089.72","    4061319","          4425686560.90","      61984","    2483771","         61.16"
"KOTAKBANK","EQ","29-Jan-2018","       1092.35","       1092.00","       1119.50","       1091.00","       1112.80","       1115.10","       1113.12","    2215014","          2465587252.65","      61658","    1450105","         65.47"
"KOTAKBANK","EQ","30-Jan-2018","       1115.10","       1113.05","       1118.00","       1083.95","       1085.80","       1088.05","       1097.59","    2692935","          2955751534.35","      58135","    2128870","         79.05"
"KOTAKBANK","EQ","31-Jan-2018","       1088.05","       1084.00","       1113.20","       1083.15","       1109.00","       1108.95","       1102.40","    3143011","          3464840194.05","      82552","    2399348","         76.34"
"KOTAKBANK","EQ","01-Feb-2018","       1108.95","       1105.10","       1131.00","       1105.10","       1120.55","       1120.95","       1121.41","    3856283","          4324478950.35","      69029","    2852508","         73.97"
"KOTAKBANK","EQ","02-Feb-2018","       1120.95","       1115.00","       1115.00","       1077.95","       1082.25","       1085.95","       1088.68","    2281820","          2484182048.40","      56758","    1364587","         59.80"
"KOTAKBANK","EQ","05-Feb-2018","       1085.95","       1075.00","       1081.05","       1050.80","       1063.00","       1062.25","       1065.83","    2370531","          2526581193.35","      48009","    1673998","         70.62"
"KOTAKBANK","EQ","06-Feb-2018","       1062.25","       1035.65","       1049.40","       1018.20","       1036.75","       1033.80","       1028.36","    3334520","          3429102109.80","      67525","    2218045","         66.52"
"KOTAKBANK","EQ","07-Feb-2018","       1033.80","       1037.00","       1050.00","       1031.00","       1033.00","       1036.30","       1039.66","    3536295","          3676529867.70","      50403","    2911129","         82.32"
"KOTAKBANK","EQ","08-Feb-2018","       1036.30","       1036.30","       1056.00","       1030.60","       1049.30","       1051.75","       1047.89","    1839297","          1927384410.95","      73057","    1267310","         68.90"
"KOTAKBANK","EQ","09-Feb-2018","       1051.75","       1040.00","       1045.50","       1028.00","       1036.00","       1032.00","       1034.49","    1898563","          1964052712.90","      37211","    1246972","         65.68"
"KOTAKBANK","EQ","12-Feb-2018","       1032.00","       1037.50","       1046.00","       1032.65","       1042.75","       1042.95","       1038.25","     772861","           802424084.75","      27842","     398995","         51.63"
"KOTAKBANK","EQ","14-Feb-2018","       1042.95","       1050.00","       1052.35","       1036.80","       1038.90","       1042.45","       1044.78","    1187333","          1240504600.05","      43159","     749302","         63.11"
"KOTAKBANK","EQ","15-Feb-2018","       1042.45","       1043.50","       1047.50","       1033.00","       1043.75","       1042.15","       1040.93","     908706","           945903241.85","      39452","     531965","         58.54"
"KOTAKBANK","EQ","16-Feb-2018","       1042.15","       1043.00","       1062.00","       1040.85","       1052.00","       1050.20","       1053.48","    1655606","          1744152912.50","      30876","     969399","         58.55"
"KOTAKBANK","EQ","19-Feb-2018","       1050.20","       1059.00","       1059.00","       1046.55","       1055.00","       1056.20","       1054.03","    1188168","          1252368115.60","      45338","     581060","         48.90"
"KOTAKBANK","EQ","20-Feb-2018","       1056.20","       1056.20","       1065.40","       1041.70","       1041.75","       1045.80","       1053.25","     835351","           879836569.15","      34929","     406161","         48.62"
"KOTAKBANK","EQ","21-Feb-2018","       1045.80","       1047.70","       1060.80","       1042.55","       1055.00","       1055.05","       1055.09","    3572028","          3768807500.25","      27493","    3138496","         87.86"
"KOTAKBANK","EQ","22-Feb-2018","       1055.05","       1052.50","       1077.50","       1050.65","       1072.00","       1072.50","       1068.79","    5142330","          5496093508.55","      58860","    3578103","         69.58"
"KOTAKBANK","EQ","23-Feb-2018","       1072.50","       1072.50","       1083.30","       1072.45","       1082.10","       1080.85","       1077.97","    2272854","          2450076729.80","      31112","    1845405","         81.19"
"KOTAKBANK","EQ","26-Feb-2018","       1080.85","       1081.00","       1109.60","       1081.00","       1105.00","       1105.15","       1099.18","    1817998","          1998301671.70","      56339","    1122818","         61.76"
"KOTAKBANK","EQ","27-Feb-2018","       1105.15","       1105.00","       1105.00","       1088.10","       1093.45","       1093.05","       1096.22","    1034120","          1133627970.60","      31649","     618729","         59.83"
"KOTAKBANK","EQ","28-Feb-2018","       1093.05","       1090.00","       1095.20","       1084.55","       1088.00","       1090.55","       1089.89","     886902","           966622782.20","      29314","     461624","         52.05"
"KOTAKBANK","EQ","01-Mar-2018","       1090.55","       1088.10","       1103.75","       1086.00","       1095.00","       1095.70","       1095.53","    1480594","          1622035099.65","      33342","    1077544","         72.78"
"KOTAKBANK","EQ","05-Mar-2018","       1095.70","       1090.00","       1103.85","       1080.80","       1097.80","       1100.00","       1095.04","    2409121","          2638085042.50","      44783","    1701305","         70.62"
"KOTAKBANK","EQ","06-Mar-2018","       1100.00","       1105.00","       1105.95","       1075.30","       1079.65","       1082.45","       1097.09","    2404151","          2637570368.85","      43072","    1856646","         77.23"
"KOTAKBANK","EQ","07-Mar-2018","       1082.45","       1082.20","       1097.60","       1073.30","       1088.05","       1085.10","       1085.89","    2965912","          3220644670.50","      47954","    2312256","         77.96"
